source,protocol,method,dataset,name,metric_name,metric_value,higher_is_better,bands,normalization,submission
geobench2,frozen_unet,frozen,benv2,clay_v1_base,Multilabel_F1_Score,0.6714998841285705,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,benv2,convnext_xlarge_fb_in22k,Multilabel_F1_Score,0.6731001019477845,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,benv2,dinov3_convnext_large,Multilabel_F1_Score,0.6799567818641663,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,benv2,dinov3_vitl16,Multilabel_F1_Score,0.699266767501831,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,benv2,dofa_large_patch16_224,Multilabel_F1_Score,0.673685610294342,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,benv2,prithvi_eo_v2_600_tl,Multilabel_F1_Score,0.6708674311637879,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,benv2,satlas_resnet50_sentinel2_si_ms_satlas,Multilabel_F1_Score,0.6371428370475769,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,benv2,satlas_swin_b_sentinel2_si_ms,Multilabel_F1_Score,0.6288150191307068,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,benv2,ssl4eos12_resnet50_sentinel2_all_decur,Multilabel_F1_Score,0.6932786583900452,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,benv2,terramind_v1_large,Multilabel_F1_Score,0.7115692377090455,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,biomassters,clay_v1_base,RMSE,0.9536604446393225,False,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,biomassters,convnext_xlarge_fb_in22k,RMSE,0.951980648772707,False,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,biomassters,dinov3_convnext_large,RMSE,0.9495101862349298,False,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,biomassters,dinov3_vitl16,RMSE,0.9513142322497308,False,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,biomassters,dofa_large_patch16_224,RMSE,0.9508062711226473,False,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,biomassters,prithvi_eo_v2_600_tl,RMSE,0.9526906374095343,False,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,biomassters,satlas_resnet50_sentinel2_si_ms_satlas,RMSE,0.9491118939862065,False,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,biomassters,satlas_swin_b_sentinel2_si_ms,RMSE,0.9518382276303168,False,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
