# PANGAEA frozen-encoder main results — arXiv:2412.04204 (Marsocci et al.), Table 5.
# Extracted from the arXiv HTML and verified against the paper Table 7 best/worst anchors
# (9 cells cross-checked, all exact). 12 foundation-model backbones x 11 datasets.
# Metric: mIoU (higher better); BioMassters is RMSE (lower better -> higher_is_better=False).
# Dataset names mapped to registry keys where they exist (HLS Burns->burn_scars, SN7->spacenet7,
# DynEarthNet->dynamic_earthnet, PASTIS->pastis, BioMassters->biomassters); others kept as slugs.
# Regenerate: see scripts/import_leaderboards.py provenance note. Static because the leaderboard is offline.
dataset,backbone,metric_name,metric_value,higher_is_better
burn_scars,CROMA,mIoU,82.42,True
mados,CROMA,mIoU,67.55,True
pastis,CROMA,mIoU,32.32,True
sen1floods11,CROMA,mIoU,90.89,True
xview2,CROMA,mIoU,39.78,True
fbp,CROMA,mIoU,51.83,True
dynamic_earthnet,CROMA,mIoU,38.29,True
cropmap,CROMA,mIoU,49.38,True
spacenet7,CROMA,mIoU,59.28,True
ai4smallfarms,CROMA,mIoU,25.65,True
biomassters,CROMA,RMSE,36.81,False
burn_scars,DOFA,mIoU,80.63,True
mados,DOFA,mIoU,59.58,True
pastis,DOFA,mIoU,30.02,True
sen1floods11,DOFA,mIoU,89.37,True
xview2,DOFA,mIoU,51.86,True
fbp,DOFA,mIoU,43.18,True
dynamic_earthnet,DOFA,mIoU,39.29,True
cropmap,DOFA,mIoU,51.33,True
spacenet7,DOFA,mIoU,61.84,True
ai4smallfarms,DOFA,mIoU,27.07,True
biomassters,DOFA,RMSE,42.81,False
burn_scars,GFM-Swin,mIoU,76.9,True
mados,GFM-Swin,mIoU,64.71,True
pastis,GFM-Swin,mIoU,21.24,True
sen1floods11,GFM-Swin,mIoU,72.6,True
xview2,GFM-Swin,mIoU,49.48,True
fbp,GFM-Swin,mIoU,67.18,True
dynamic_earthnet,GFM-Swin,mIoU,34.09,True
cropmap,GFM-Swin,mIoU,46.98,True
spacenet7,GFM-Swin,mIoU,60.89,True
ai4smallfarms,GFM-Swin,mIoU,27.19,True
